vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade,latitude,longitude
31CZ00,31CZ,0,"PvO Geldermalsen - Ida Gerhardt Academie voor havo, atheneum en gymnasium",Ossengang,,45,4191LR,GELDERMALSEN,Gelderland,WEST BETUWE,1960,034-5525816,www.persoonlijkvo.nl,True,,35647,Bijzonder,Zuidwest-Gelderland,Rivierenland,Utrecht en omstreken,Midden,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,864.0,Medium,144.0,51.884914,5.2728686
02QN00,02QN,0,Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo,Deken Hooijmansingel,,1,7141EA,GROENLO,Gelderland,OOST GELRE,1586,054-4477070,www.marianum.nl,True,,35647,Bijzonder,Achterhoek,Achterhoek,Zuidelijke Achterhoek,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5721.0,Very Large,953.5,52.0390088,6.6148154
00RZ01,00RZ,1,Montessori College voor Atheneum Havo Mavo Vbo Lwoo,Spoorlaan,,16,6562AM,GROESBEEK,Gelderland,BERG EN DAL,1945,024-3995560,,False,,40375,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,1904.0,Large,317.3333333333333,51.7777883,5.9366872
02FB00,02FB,0,Christelijk College Nassau-Veluwe,Stationslaan,,26,3842LA,HARDERWIJK,Gelderland,HARDERWIJK,243,034-1436170,www.ccnv.nl,True,,36921,Bijzonder,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,7821.0,Very Large,1303.5,52.3387347,5.6213791
07YU00,07YU,0,Mijnschool voor Praktijkonderwijs,Kruithuis,,4,3844DH,HARDERWIJK,Gelderland,HARDERWIJK,243,034-1417419,www.mijnschool.nu,True,,41671,Bijzonder,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,PRO,PRO,Dutch,True,False,False,False,False,False,1957.0,Large,326.1666666666667,52.3445934,5.6161579
01AA86,01AA,86,Morgen College,De Sypel,,2,3842AE,HARDERWIJK,Gelderland,HARDERWIJK,243,,,False,,40810,Bijzonder,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,,Unknown,,52.3398437,5.6255465
01AA87,01AA,87,Morgen College,Westeinde,,31,3844DD,HARDERWIJK,Gelderland,HARDERWIJK,243,,,False,,40810,Bijzonder,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,,Unknown,,52.3450837,5.6132827
01AA88,01AA,88,Morgen College,Mecklenburglaan,,3,3843BN,HARDERWIJK,Gelderland,HARDERWIJK,243,,,False,,40810,Bijzonder,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,,Unknown,,52.3331812,5.6324105
17CK00,17CK,0,Regionale Scholengemeenschap Slingerbos/Levant voor Ath Havo Mavo,Eisenhowerlaan,,59,3844AS,HARDERWIJK,Gelderland,HARDERWIJK,243,034-1414484,www.rsgslingerbos.nl,True,,13739,Openbaar,Veluwe,Noordwest-Veluwe,Harderwijk-Amersfoort,Midden,MAVO/HAVO/VWO,"MAVO, HAVO, VWO",Dutch,False,False,True,True,True,False,9706.0,Very Large,1617.6666666666667,52.3348793,5.6152665
00MP00,00MP,0,Christelijk College De Noordgouw,Eperweg,,34-A,8181EW,HEERDE,Gelderland,HEERDE,246,057-8693411,www.noordgouw.nl,True,,40922,Bijzonder,Veluwe,IJssel-Vecht,Zwolle-Meppel en omstreken,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5456.0,Very Large,909.3333333333334,52.3856805,6.0351157
