vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade
06DT00,06DT,00,School voor Praktijkonderwijs De Meander,Wolfsbosstraat,,7-A,7905BZ,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8266192,www.wolfsbos.nl,True,,13737,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,1133.0,Medium,188.83333333333334
02VA01,02VA,01,St. Roelof van Echten College voor Christelijk Voortgezet Onderwijs Hoogeveen,Voltastraat,,27,7903AA,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8358658,www.rvec.nl,True,,41271,Bijzonder,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/PRO,"PRO, VMBO, MAVO",Dutch,True,True,True,False,False,False,2131.0,Large,355.1666666666667
20LA02,20LA,02,Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College,Van Echtenstraat,,22,7891LM,KLAZIENAVEEN,Drenthe,EMMEN,114,088-0009660,,False,,41889,Openbaar,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,2679.0,Large,446.5
03XM00,03XM,00,Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum,Gerard Doustraat,,13,7944HD,MEPPEL,Drenthe,MEPPEL,119,052-2700500,www.dingstede.nl,True,,41636,Bijzonder,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,6937.0,Very Large,1156.1666666666667
25PW54,25PW,54,Drenthe College Terra,Werkhorst,,58,7944AV,MEPPEL,Drenthe,MEPPEL,119,052-2253364,,False,,40872,Overige,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,
25PW60,25PW,60,Drenthe College Terra,Werkhorst,,36,7944AV,MEPPEL,Drenthe,MEPPEL,119,,,False,,40872,Overige,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,
17VS04,17VS,04,Greijdanus School voor LWOO VMBO HAVO VWO,Schoolstraat,,5,7941CA,MEPPEL,Drenthe,MEPPEL,119,038-4698550,,False,,43837,Bijzonder,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,3436.0,Very Large,572.6666666666666
25CL00,25CL,00,Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo,Ezingerweg,,52,7943AZ,MEPPEL,Drenthe,MEPPEL,119,052-2263275,www.stadenesch.nl,True,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,7107.0,Very Large,1184.5
25CL01,25CL,01,Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo,Ezingerweg,,51,7943AZ,MEPPEL,Drenthe,MEPPEL,119,052-2263277,www.stadenesch.nl,True,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,3387.0,Very Large,564.5
25CL04,25CL,04,Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo,Ezingerweg,,55,7943AZ,MEPPEL,Drenthe,MEPPEL,119,052-2242430,,False,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,432.0,Small,72.0
19TQ00,19TQ,00,Stad & Esch Praktijkschool,Ezingerweg,,54,7943AZ,MEPPEL,Drenthe,MEPPEL,119,052-2253188,www.stadenesch.nl,True,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,1119.0,Medium,186.5
25CL05,25CL,05,Stad & Esch Taalschool Meppel,Werkhorst,,36,7944AV,MEPPEL,Drenthe,MEPPEL,119,,,False,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,,Unknown,
20LO01,20LO,01,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Schoolstraat,,1,9331AV,NORG,Drenthe,NOORDENVELD,1699,059-2675750,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Groningen en omstreken,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,1732.0,Large,288.6666666666667
20LA06,20LA,06,Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College,Beatrixlaan,,14-A,7861AJ,OOSTERHESSELEN,Drenthe,COEVORDEN,109,088-0009600,,False,,41889,Openbaar,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1486.0,Medium,247.66666666666666
00DI01,00DI,01,rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo,Burchtlaan,,1,9301TJ,RODEN,Drenthe,NOORDENVELD,1699,050-5019318,,False,,41143,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Groningen en omstreken,Noord,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,2498.0,Large,416.3333333333333
00DI04,00DI,04,rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo,Burchtlaan,,2,9301TJ,RODEN,Drenthe,NOORDENVELD,1699,050-5015809,www.rsgdeborgen.nl,True,,41143,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Groningen en omstreken,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,1199.0,Medium,199.83333333333334
27VD00,27VD,00,Aeres VMBO Almere,Heliumweg,,1,1362JA,ALMERE,Flevoland,ALMERE,34,088-0205400,www.aeresvmbo-almere.nl,True,,40687,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,4907.0,Very Large,817.8333333333334
01FP01,01FP,01,"Het Baken Almere, interconfesioneel VO VWO, Havo Vmbo loc. Het Baken Park Lyceum",Bunuellaan,,4,1325PL,ALMERE,Flevoland,ALMERE,34,036-5238108,www.hetbaken.nl,True,,42620,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5540.0,Very Large,923.3333333333334
01FP06,01FP,06,"Het Baken Almere, interconfessioneel VO VWO Havo Vmbo loc. IS Almere",Breskensweg,,5,1324KE,ALMERE,Flevoland,ALMERE,34,036-5238151,www.hetbaken.nl,True,,42620,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,2684.0,Large,447.3333333333333
